date,state,total doses,first dose,second dose
2021-01-12,American Samoa,1102,842,260
2021-01-13,American Samoa,1555,1193,362
2021-01-14,American Samoa,2959,2409,550
2021-01-15,American Samoa,3882,3144,738
2021-01-16,American Samoa,4100,3354,746
2021-01-17,American Samoa,4318,3564,754
2021-01-18,American Samoa,4536,3774,762
2021-01-19,American Samoa,4755,3985,770
2021-01-20,American Samoa,5312,4476,836
2021-01-21,American Samoa,5663,4734,929
2021-01-22,American Samoa,6567,5627,940
2021-01-23,American Samoa,6829,5881,948
2021-01-24,American Samoa,8044,7096,948
2021-01-25,American Samoa,8044,7096,948
2021-01-26,American Samoa,8313,7365,948
2021-01-27,American Samoa,9083,8133,950
2021-01-28,American Samoa,9083,8133,950
2021-01-29,American Samoa,9923,8926,997
2021-01-30,American Samoa,9923,8926,997
2021-01-31,American Samoa,9923,8926,997
2021-02-01,American Samoa,10759,9713,1046
2021-02-02,American Samoa,10759,9713,1046
2021-02-03,American Samoa,11064,9759,1305
2021-02-04,American Samoa,11255,9761,1494
2021-02-05,American Samoa,12027,9775,2252
2021-02-06,American Samoa,12257,9779,2478
2021-02-07,American Samoa,12257,9779,2478
2021-02-08,American Samoa,12257,9779,2478
2021-02-09,American Samoa,12677,9792,2885
2021-02-10,American Samoa,13312,9818,3494
2021-02-11,American Samoa,13507,9822,3685
2021-02-12,American Samoa,15025,10057,4968
2021-02-13,American Samoa,15370,10062,5308
2021-02-14,American Samoa,15370,10062,5308
2021-02-15,American Samoa,15733,10149,5584
2021-02-16,American Samoa,16096,10236,5860
2021-02-17,American Samoa,16256,10267,5989
2021-02-18,American Samoa,16256,10267,5989
2021-02-19,American Samoa,16256,10267,5989
2021-02-20,American Samoa,17724,10831,6893
2021-02-21,American Samoa,18759,10948,7811
2021-02-22,American Samoa,18913,11054,7859
2021-02-23,American Samoa,18913,11054,7859
2021-02-24,American Samoa,19834,11814,8020
2021-02-25,American Samoa,19834,11814,8020
2021-02-26,American Samoa,20430,12351,8079
2021-02-27,American Samoa,20433,12354,8079
2021-02-28,American Samoa,20434,12355,8079
2021-03-01,American Samoa,20435,12355,8080
2021-03-02,American Samoa,21170,13028,8142
2021-03-03,American Samoa,21171,13029,8142
2021-03-04,American Samoa,21719,13467,8252
2021-03-05,American Samoa,21720,13468,8252
2021-03-06,American Samoa,21720,13468,8252
2021-03-07,American Samoa,21721,13469,8252
2021-03-08,American Samoa,21723,13469,8254
2021-03-09,American Samoa,21725,13471,8254
2021-03-10,American Samoa,23791,15085,8706
2021-03-11,American Samoa,23791,15085,8706
2021-03-12,American Samoa,23791,15085,8706
2021-03-13,American Samoa,23795,15082,8713
2021-03-14,American Samoa,23796,15083,8713
2021-03-15,American Samoa,24400,15377,9023
2021-03-16,American Samoa,24402,15378,9024
2021-03-17,American Samoa,24404,15379,9025
2021-03-18,American Samoa,24406,15381,9025
2021-03-19,American Samoa,24409,15383,9026
2021-03-20,American Samoa,24411,15384,9027
2021-03-21,American Samoa,24414,15386,9028
2021-03-22,American Samoa,27112,16916,10196
2021-03-23,American Samoa,27354,17114,10240
2021-03-24,American Samoa,27923,17371,10552
2021-03-25,American Samoa,27951,17385,10566
2021-03-26,American Samoa,28591,17548,11043
2021-03-27,American Samoa,28613,17567,11046
2021-03-28,American Samoa,28617,17570,11047
2021-03-29,American Samoa,28624,17575,11049
2021-03-30,American Samoa,29178,17718,11460
2021-03-31,American Samoa,31262,17856,13406
2021-04-01,American Samoa,31262,17856,13406
2021-04-02,American Samoa,31851,18097,13754
2021-04-03,American Samoa,31852,18097,13755
2021-04-04,American Samoa,31854,18099,13755
2021-04-05,American Samoa,31855,18100,13755
2021-04-06,American Samoa,31855,18100,13755
2021-04-07,American Samoa,32935,18598,14337
2021-04-08,American Samoa,32988,18650,14338
2021-04-09,American Samoa,33632,18895,14737
2021-04-10,American Samoa,33632,18895,14737
2021-04-11,American Samoa,34252,19406,14846
2021-04-12,American Samoa,34252,19406,14846
2021-04-13,American Samoa,34254,19408,14846
2021-04-14,American Samoa,34871,19632,15239
2021-04-15,American Samoa,34872,19633,15239
2021-04-16,American Samoa,36054,20247,15807
2021-04-17,American Samoa,36055,20248,15807
2021-04-18,American Samoa,36057,20248,15809
2021-04-19,American Samoa,36062,20253,15809
2021-04-20,American Samoa,36066,20255,15811
2021-04-21,American Samoa,36190,20341,15849
2021-04-22,American Samoa,36191,20342,15849
2021-04-23,American Samoa,37355,20901,16454
2021-04-24,American Samoa,37357,20902,16455
2021-04-25,American Samoa,37718,21165,16553
2021-04-26,American Samoa,37722,21165,16557
2021-04-27,American Samoa,37934,21284,16650
2021-04-28,American Samoa,37934,21284,16650
2021-04-29,American Samoa,38466,21552,16914
2021-04-30,American Samoa,38872,21731,17141
2021-05-01,American Samoa,38874,21732,17142
2021-05-02,American Samoa,38874,21732,17142
2021-05-03,American Samoa,38874,21732,17142
2021-05-04,American Samoa,39257,21904,17353
2021-05-05,American Samoa,39401,22002,17399
2021-05-06,American Samoa,39401,22002,17399
2021-05-07,American Samoa,39813,22119,17694
2021-05-08,American Samoa,39816,22122,17694
2021-05-09,American Samoa,39817,22122,17695
2021-05-10,American Samoa,39817,22122,17695
2021-05-11,American Samoa,39819,22122,17697
2021-05-12,American Samoa,39820,22122,17698
2021-05-13,American Samoa,40245,22334,17911
2021-05-14,American Samoa,40246,22335,17911
2021-05-15,American Samoa,40680,22498,18182
2021-05-16,American Samoa,40680,22498,18182
2021-05-17,American Samoa,40680,22498,18182
2021-05-18,American Samoa,40680,22498,18182
2021-05-19,American Samoa,41619,22964,18655
2021-05-20,American Samoa,41621,22964,18657
