date,state,total doses,first dose,second dose
2021-01-12,Arizona,103484,95141,8343
2021-01-13,Arizona,116779,104387,12392
2021-01-14,Arizona,174011,157397,16614
2021-01-15,Arizona,197050,176213,20837
2021-01-16,Arizona,214342,190992,23350
2021-01-17,Arizona,231636,205772,25864
2021-01-18,Arizona,248929,220551,28378
2021-01-19,Arizona,266223,235331,30892
2021-01-20,Arizona,281748,246960,34788
2021-01-21,Arizona,303733,262120,41613
2021-01-22,Arizona,329165,280227,48938
2021-01-23,Arizona,360758,305744,55014
2021-01-24,Arizona,390386,332095,58291
2021-01-25,Arizona,413359,350648,62711
2021-01-26,Arizona,430569,366018,64551
2021-01-27,Arizona,457905,389059,68846
2021-01-28,Arizona,486768,412841,73927
2021-01-29,Arizona,520670,439897,80773
2021-01-30,Arizona,556906,469916,86990
2021-01-31,Arizona,593608,500942,92666
2021-02-01,Arizona,620084,524413,95671
2021-02-02,Arizona,631136,534476,96660
2021-02-03,Arizona,655480,553373,102107
2021-02-04,Arizona,685490,573845,111645
2021-02-05,Arizona,718752,597525,121227
2021-02-06,Arizona,765986,629750,136236
2021-02-07,Arizona,808301,656909,151392
2021-02-08,Arizona,840021,678697,161324
2021-02-09,Arizona,862768,695970,166798
2021-02-10,Arizona,896616,719051,177565
2021-02-11,Arizona,940141,747599,192542
2021-02-12,Arizona,987969,780057,207912
2021-02-13,Arizona,1037238,811080,226158
2021-02-14,Arizona,1085223,840252,244971
2021-02-15,Arizona,1117872,863179,254693
2021-02-16,Arizona,1150523,886107,264416
2021-02-17,Arizona,1160758,892791,267967
2021-02-18,Arizona,1198423,914468,283955
2021-02-19,Arizona,1371485,1036237,335248
2021-02-20,Arizona,1420164,1064109,356055
2021-02-21,Arizona,1464292,1087921,376371
2021-02-22,Arizona,1469980,1083205,386775
2021-02-23,Arizona,1488513,1095494,393019
2021-02-24,Arizona,1517981,1110854,407127
2021-02-25,Arizona,1568161,1136024,432137
2021-02-26,Arizona,1630128,1168054,462074
2021-02-27,Arizona,1685798,1195110,490688
2021-02-28,Arizona,1746132,1220706,525426
2021-03-01,Arizona,1800760,1244879,555881
2021-03-02,Arizona,1838430,1262868,575562
2021-03-03,Arizona,1878568,1277294,601274
2021-03-04,Arizona,1926273,1298827,627446
2021-03-05,Arizona,1983223,1325003,658220
2021-03-06,Arizona,1990877,1328642,662235
2021-03-07,Arizona,2103923,1388900,715023
2021-03-08,Arizona,2155008,1416598,738410
2021-03-09,Arizona,2185369,1435152,750217
2021-03-10,Arizona,2231601,1464494,767107
2021-03-11,Arizona,2288471,1496266,792205
2021-03-12,Arizona,2355502,1529482,826020
2021-03-13,Arizona,2421785,1562876,858909
2021-03-14,Arizona,2494127,1602626,891501
2021-03-15,Arizona,2543494,1629972,913522
2021-03-16,Arizona,2594880,1655300,939580
2021-03-17,Arizona,2637858,1682456,955402
2021-03-18,Arizona,2695928,1716937,978991
2021-03-19,Arizona,2701822,1720172,981650
2021-03-20,Arizona,2766745,1762337,1004408
2021-03-21,Arizona,2834136,1804760,1029376
2021-03-22,Arizona,2884258,1835039,1049219
2021-03-23,Arizona,2911368,1851810,1059558
2021-03-24,Arizona,2952531,1877865,1074666
2021-03-25,Arizona,3049350,1940953,1108397
2021-03-26,Arizona,3112715,1983569,1129146
2021-03-27,Arizona,3184149,2030110,1154039
2021-03-28,Arizona,3255462,2072778,1182684
2021-03-29,Arizona,3310637,2105116,1205521
2021-03-30,Arizona,3346483,2125696,1220787
2021-03-31,Arizona,3400293,2157694,1242599
2021-04-01,Arizona,3461589,2194105,1267484
2021-04-02,Arizona,3533854,2235527,1298327
2021-04-03,Arizona,3608844,2276832,1332012
2021-04-04,Arizona,3678608,2312278,1366330
2021-04-05,Arizona,3731616,2338969,1392647
2021-04-06,Arizona,3752885,2353075,1399810
2021-04-07,Arizona,3800285,2378505,1421780
2021-04-08,Arizona,3865594,2412162,1453432
2021-04-09,Arizona,3948342,2452911,1495431
2021-04-10,Arizona,4034960,2494850,1540110
2021-04-11,Arizona,4112186,2533121,1579065
2021-04-12,Arizona,4161064,2558747,1602317
2021-04-13,Arizona,4198688,2579710,1618978
2021-04-14,Arizona,4248082,2604648,1643434
2021-04-15,Arizona,4305830,2635334,1670496
2021-04-16,Arizona,4365870,2663248,1702622
2021-04-17,Arizona,4440064,2696688,1743376
2021-04-18,Arizona,4505234,2725197,1780037
2021-04-19,Arizona,4549122,2744596,1804526
2021-04-20,Arizona,4580317,2758177,1822140
2021-04-21,Arizona,4631712,2780137,1851575
2021-04-22,Arizona,4688571,2805338,1883233
2021-04-23,Arizona,4750817,2832476,1918341
2021-04-24,Arizona,4814990,2859184,1955806
2021-04-25,Arizona,4871513,2884396,1987117
2021-04-26,Arizona,4910644,2900707,2009937
