date,state,total doses,first dose,second dose
2021-01-12,Arkansas,39365,39357,8
2021-01-13,Arkansas,93307,80458,12849
2021-01-14,Arkansas,106154,90339,15815
2021-01-15,Arkansas,116610,97829,18781
2021-01-16,Arkansas,122581,103062,19519
2021-01-17,Arkansas,128553,108296,20257
2021-01-18,Arkansas,134524,113529,20995
2021-01-19,Arkansas,140497,118763,21734
2021-01-20,Arkansas,171333,144792,26541
2021-01-21,Arkansas,171333,144792,26541
2021-01-22,Arkansas,199388,167788,31600
2021-01-23,Arkansas,199388,167788,31600
2021-01-24,Arkansas,211862,179290,32572
2021-01-25,Arkansas,218705,185546,33159
2021-01-26,Arkansas,233870,196815,37055
2021-01-27,Arkansas,250355,209445,40910
2021-01-28,Arkansas,250355,209445,40910
2021-01-29,Arkansas,267470,221552,45918
2021-01-30,Arkansas,286053,233935,52118
2021-01-31,Arkansas,301131,244867,56264
2021-02-01,Arkansas,308556,249943,58613
2021-02-02,Arkansas,311744,251841,59903
2021-02-03,Arkansas,319663,256307,63356
2021-02-04,Arkansas,335341,266563,68778
2021-02-05,Arkansas,348269,274459,73810
2021-02-06,Arkansas,371717,290153,81564
2021-02-07,Arkansas,390447,300139,90308
2021-02-08,Arkansas,398662,304604,94058
2021-02-09,Arkansas,401119,305917,95202
2021-02-10,Arkansas,415008,311339,103669
2021-02-11,Arkansas,427723,316972,110751
2021-02-12,Arkansas,444027,325562,118465
2021-02-13,Arkansas,454186,330146,124040
2021-02-14,Arkansas,469248,338611,130637
2021-02-15,Arkansas,474650,341124,133526
2021-02-16,Arkansas,480052,343637,136415
2021-02-17,Arkansas,483525,345271,138254
2021-02-18,Arkansas,487285,346623,140662
2021-02-19,Arkansas,513784,362972,150812
2021-02-20,Arkansas,517410,364735,152675
2021-02-21,Arkansas,524947,367436,157511
2021-02-22,Arkansas,532808,371148,161660
2021-02-23,Arkansas,537540,373476,164064
2021-02-24,Arkansas,551762,378928,172834
2021-02-25,Arkansas,569943,385351,184592
2021-02-26,Arkansas,595438,394906,200532
2021-02-27,Arkansas,620279,405877,214402
2021-02-28,Arkansas,646952,419502,227450
2021-03-01,Arkansas,659252,425567,233685
2021-03-02,Arkansas,668572,431866,236706
2021-03-03,Arkansas,685370,442371,242999
2021-03-04,Arkansas,702571,452615,249956
2021-03-05,Arkansas,722008,464641,257367
2021-03-06,Arkansas,742353,477127,265226
2021-03-07,Arkansas,763525,489149,274376
2021-03-08,Arkansas,771978,494761,277217
2021-03-09,Arkansas,781468,501653,279815
2021-03-10,Arkansas,798875,513591,285284
2021-03-11,Arkansas,800367,514556,285811
2021-03-12,Arkansas,839129,541936,297193
2021-03-13,Arkansas,888806,579022,309784
2021-03-14,Arkansas,888984,579157,309827
2021-03-15,Arkansas,899638,586266,313372
2021-03-16,Arkansas,904351,589436,314915
2021-03-17,Arkansas,921243,602085,319158
2021-03-18,Arkansas,940224,615670,324554
2021-03-19,Arkansas,966369,635565,330804
2021-03-20,Arkansas,989508,653550,335958
2021-03-21,Arkansas,1015916,670894,345022
2021-03-22,Arkansas,1026395,677806,348589
2021-03-23,Arkansas,1030500,680549,349951
2021-03-24,Arkansas,1051467,694124,357343
2021-03-25,Arkansas,1077158,710494,366664
2021-03-26,Arkansas,1107050,730820,376230
2021-03-27,Arkansas,1136069,747412,388657
2021-03-28,Arkansas,1167181,763783,403398
2021-03-29,Arkansas,1176934,769106,407828
2021-03-30,Arkansas,1182460,772457,410003
2021-03-31,Arkansas,1207739,788277,419462
2021-04-01,Arkansas,1236479,803744,432735
2021-04-02,Arkansas,1272153,822604,449549
2021-04-03,Arkansas,1336370,855314,481056
2021-04-04,Arkansas,1338224,856162,482062
2021-04-05,Arkansas,1348445,861082,487363
2021-04-06,Arkansas,1357186,867707,489479
2021-04-07,Arkansas,1384409,881099,503310
2021-04-08,Arkansas,1416802,897978,518824
2021-04-09,Arkansas,1445217,911997,533220
2021-04-10,Arkansas,1481281,929582,551699
2021-04-11,Arkansas,1512196,944947,567249
2021-04-12,Arkansas,1523048,950204,572844
2021-04-13,Arkansas,1529409,952900,576509
2021-04-14,Arkansas,1555540,965352,590188
2021-04-15,Arkansas,1584250,978137,606113
2021-04-16,Arkansas,1611364,989656,621708
2021-04-17,Arkansas,1635727,999727,636000
2021-04-18,Arkansas,1661605,1010421,651184
2021-04-19,Arkansas,1668234,1013104,655130
2021-04-20,Arkansas,1674792,1015859,658933
2021-04-21,Arkansas,1695172,1024343,670829
2021-04-22,Arkansas,1716932,1033132,683800
2021-04-23,Arkansas,1738637,1039897,698740
2021-04-24,Arkansas,1757841,1046195,711646
2021-04-25,Arkansas,1775213,1051126,724087
2021-04-26,Arkansas,1784816,1053861,730955
2021-04-27,Arkansas,1787985,1055239,732746
2021-04-28,Arkansas,1803734,1060712,743022
2021-04-29,Arkansas,1822445,1067532,754913
2021-04-30,Arkansas,1837661,1071773,765888
2021-05-01,Arkansas,1854316,1077072,777244
2021-05-02,Arkansas,1870148,1081910,788238
