date,state,total doses,first dose,second dose
2021-01-12,Georgia,92856,85110,7746
2021-01-13,Georgia,95042,86105,8937
2021-01-14,Georgia,219931,204301,15630
2021-01-15,Georgia,226625,204301,22324
2021-01-16,Georgia,246732,222763,23969
2021-01-17,Georgia,266841,241226,25615
2021-01-18,Georgia,286949,259688,27261
2021-01-19,Georgia,307058,278151,28907
2021-01-20,Georgia,391039,356010,35029
2021-01-21,Georgia,446972,407000,39972
2021-01-22,Georgia,593590,533665,59925
2021-01-23,Georgia,594126,534161,59965
2021-01-24,Georgia,594126,534161,59965
2021-01-25,Georgia,594126,534161,59965
2021-01-26,Georgia,656374,591385,64989
2021-01-27,Georgia,698265,622905,75360
2021-01-28,Georgia,748517,659212,89305
2021-01-29,Georgia,793026,693085,99941
2021-01-30,Georgia,838428,729117,109311
2021-01-31,Georgia,886753,766875,119878
2021-02-01,Georgia,911035,785487,125548
2021-02-02,Georgia,920239,790354,129885
2021-02-03,Georgia,954114,813214,140900
2021-02-04,Georgia,986717,834091,152626
2021-02-05,Georgia,1029706,860543,169163
2021-02-06,Georgia,1076333,887597,188736
2021-02-07,Georgia,1122426,912189,210237
2021-02-08,Georgia,1143122,923282,219840
2021-02-09,Georgia,1155173,927176,227997
2021-02-10,Georgia,1198451,946505,251946
2021-02-11,Georgia,1246725,967179,279546
2021-02-12,Georgia,1246725,967179,279546
2021-02-13,Georgia,1301654,987693,313961
2021-02-14,Georgia,1408023,1027629,380394
2021-02-15,Georgia,1425338,1033852,391486
2021-02-16,Georgia,1442653,1040075,402578
2021-02-17,Georgia,1442653,1040075,402578
2021-02-18,Georgia,1536499,1073929,462570
2021-02-19,Georgia,1686110,1158554,527556
2021-02-20,Georgia,1750125,1181826,568299
2021-02-21,Georgia,1811894,1202374,609520
2021-02-22,Georgia,1808707,1188521,620186
2021-02-23,Georgia,1815356,1191004,624352
2021-02-24,Georgia,1853065,1203510,649555
2021-02-25,Georgia,1894156,1219200,674956
2021-02-26,Georgia,1945364,1239379,705985
2021-02-27,Georgia,1999809,1258671,741138
2021-02-28,Georgia,2002717,1259837,742880
2021-03-01,Georgia,2003467,1260430,743037
2021-03-02,Georgia,2015593,1268982,746611
2021-03-03,Georgia,2062817,1287231,775586
2021-03-04,Georgia,2115370,1310024,805346
2021-03-05,Georgia,2179519,1337534,841985
2021-03-06,Georgia,2233019,1365901,867118
2021-03-07,Georgia,2290607,1396280,894327
2021-03-08,Georgia,2316149,1411942,904207
2021-03-09,Georgia,2330741,1420118,910623
2021-03-10,Georgia,2334161,1422182,911979
2021-03-11,Georgia,2410561,1474110,936451
2021-03-12,Georgia,2528214,1548497,979717
2021-03-13,Georgia,2616526,1608162,1008364
2021-03-14,Georgia,2696282,1662522,1033760
2021-03-15,Georgia,2734552,1689912,1044640
2021-03-16,Georgia,2756372,1707798,1048574
2021-03-17,Georgia,2760991,1710417,1050574
2021-03-18,Georgia,2856505,1774120,1082385
2021-03-19,Georgia,2861781,1777288,1084493
2021-03-20,Georgia,3058610,1920080,1138530
2021-03-21,Georgia,3154680,1999241,1155439
2021-03-22,Georgia,3230855,2058969,1171886
2021-03-23,Georgia,3231576,2059451,1172125
2021-03-24,Georgia,3313670,2121979,1191691
2021-03-25,Georgia,3387916,2179249,1208667
2021-03-26,Georgia,3485209,2256114,1229095
2021-03-27,Georgia,3576604,2326415,1250189
2021-03-28,Georgia,3669058,2401381,1267677
2021-03-29,Georgia,3722487,2447419,1275068
2021-03-30,Georgia,3745700,2465539,1280161
2021-03-31,Georgia,3816363,2515040,1301323
2021-04-01,Georgia,3912268,2584711,1327557
2021-04-02,Georgia,4019573,2659950,1359623
2021-04-03,Georgia,4118098,2726041,1392057
2021-04-04,Georgia,4122775,2728898,1393877
2021-04-05,Georgia,4207004,2791236,1415768
2021-04-06,Georgia,4234497,2812750,1421747
2021-04-07,Georgia,4419960,2925480,1494480
2021-04-08,Georgia,4520825,2983960,1536865
2021-04-09,Georgia,4642995,3055334,1587661
2021-04-10,Georgia,4649902,3058311,1591591
2021-04-11,Georgia,4654982,3060628,1594354
2021-04-12,Georgia,4657607,3062204,1595403
2021-04-13,Georgia,4988033,3250068,1737965
2021-04-14,Georgia,5072900,3290515,1782385
2021-04-15,Georgia,5168845,3333309,1835536
2021-04-16,Georgia,5272323,3372331,1899992
2021-04-17,Georgia,5376305,3411530,1964775
2021-04-18,Georgia,5469708,3443914,2025794
2021-04-19,Georgia,5545775,3471588,2074187
2021-04-20,Georgia,5586477,3485265,2101212
2021-04-21,Georgia,5657914,3511811,2146103
2021-04-22,Georgia,5741254,3538315,2202939
2021-04-23,Georgia,5829798,3565858,2263940
2021-04-24,Georgia,5921664,3592667,2328997
2021-04-25,Georgia,5925584,3594066,2331518
2021-04-26,Georgia,6011831,3623541,2388290
2021-04-27,Georgia,6061295,3639372,2421923
2021-04-28,Georgia,6132421,3661495,2470926
2021-04-29,Georgia,6212206,3684661,2527545
