date,state,total doses,first dose,second dose
2021-01-12,Oregon,104407,99594,4813
2021-01-13,Oregon,114857,107843,7014
2021-01-14,Oregon,129884,119980,9904
2021-01-15,Oregon,145886,133091,12795
2021-01-16,Oregon,163517,147955,15562
2021-01-17,Oregon,181150,162820,18330
2021-01-18,Oregon,198783,177685,21098
2021-01-19,Oregon,216416,192550,23866
2021-01-20,Oregon,216416,192550,23866
2021-01-21,Oregon,216416,192550,23866
2021-01-22,Oregon,252949,218413,34536
2021-01-23,Oregon,269589,231606,37983
2021-01-24,Oregon,285017,244669,40348
2021-01-25,Oregon,299722,257296,42426
2021-01-26,Oregon,307109,263167,43942
2021-01-27,Oregon,324461,276200,48261
2021-01-28,Oregon,339190,285528,53662
2021-01-29,Oregon,358172,299508,58664
2021-01-30,Oregon,381152,314964,66188
2021-01-31,Oregon,406619,331692,74927
2021-02-01,Oregon,422349,342827,79522
2021-02-02,Oregon,436933,353035,83898
2021-02-03,Oregon,452489,361249,91240
2021-02-04,Oregon,470118,369704,100414
2021-02-05,Oregon,485224,378078,107146
2021-02-06,Oregon,507891,389513,118378
2021-02-07,Oregon,530706,400019,130687
2021-02-08,Oregon,552360,412660,139700
2021-02-09,Oregon,570603,425086,145517
2021-02-10,Oregon,586922,434561,152361
2021-02-11,Oregon,586922,434561,152361
2021-02-12,Oregon,586922,434561,152361
2021-02-13,Oregon,648642,466801,181841
2021-02-14,Oregon,668946,475841,193105
2021-02-15,Oregon,675864,479472,196392
2021-02-16,Oregon,682782,483103,199679
2021-02-17,Oregon,690245,487286,202959
2021-02-18,Oregon,706022,496092,209930
2021-02-19,Oregon,763858,529837,234021
2021-02-20,Oregon,790932,541691,249241
2021-02-21,Oregon,817847,552058,265789
2021-02-22,Oregon,836065,558708,277357
2021-02-23,Oregon,856458,566952,289506
2021-02-24,Oregon,857444,567693,289751
2021-02-25,Oregon,881056,578441,302615
2021-02-26,Oregon,918764,595929,322835
2021-02-27,Oregon,951553,616134,335419
2021-02-28,Oregon,984986,632080,352906
2021-03-01,Oregon,1014642,650472,364170
2021-03-02,Oregon,1028972,659018,369954
2021-03-03,Oregon,1040939,666187,374752
2021-03-04,Oregon,1063733,677995,385738
2021-03-05,Oregon,1088591,690687,397904
2021-03-06,Oregon,1128190,718580,409610
2021-03-07,Oregon,1163012,742710,420302
2021-03-08,Oregon,1192098,760168,431930
2021-03-09,Oregon,1214684,773967,440717
2021-03-10,Oregon,1231985,784943,447042
2021-03-11,Oregon,1233473,785467,448006
2021-03-12,Oregon,1267781,806341,461440
2021-03-13,Oregon,1333337,847034,486303
2021-03-14,Oregon,1368782,870504,498278
2021-03-15,Oregon,1396517,888090,508427
2021-03-16,Oregon,1423959,905439,518520
2021-03-17,Oregon,1426202,906252,519950
2021-03-18,Oregon,1448090,918539,529551
2021-03-19,Oregon,1501035,952346,548689
2021-03-20,Oregon,1544372,978493,565879
2021-03-21,Oregon,1583589,1004599,578990
2021-03-22,Oregon,1609398,1019809,589589
2021-03-23,Oregon,1632671,1032205,600466
2021-03-24,Oregon,1653444,1044742,608702
2021-03-25,Oregon,1685553,1067154,618399
2021-03-26,Oregon,1724880,1095410,629470
2021-03-27,Oregon,1769404,1120893,648511
2021-03-28,Oregon,1806558,1141447,665111
2021-03-29,Oregon,1837729,1158213,679516
2021-03-30,Oregon,1857127,1169185,687942
2021-03-31,Oregon,1890487,1187225,703262
2021-04-01,Oregon,1931993,1211160,720833
2021-04-02,Oregon,1982327,1242974,739353
2021-04-03,Oregon,2032018,1270002,762016
2021-04-04,Oregon,2080160,1297163,782997
2021-04-05,Oregon,2116007,1315090,800917
2021-04-06,Oregon,2138985,1327236,811749
2021-04-07,Oregon,2175123,1349522,825601
2021-04-08,Oregon,2216857,1372306,844551
2021-04-09,Oregon,2274622,1406840,867782
2021-04-10,Oregon,2335074,1437634,897440
2021-04-11,Oregon,2396993,1473448,923545
2021-04-12,Oregon,2438764,1496348,942416
2021-04-13,Oregon,2469062,1512819,956243
2021-04-14,Oregon,2504480,1534466,970014
