date,state,total doses,first dose,second dose
2021-01-12,Rhode Island,39526,35385,4141
2021-01-13,Rhode Island,41979,36489,5490
2021-01-14,Rhode Island,44823,38000,6823
2021-01-15,Rhode Island,47537,39381,8156
2021-01-16,Rhode Island,49168,40576,8592
2021-01-17,Rhode Island,50801,41772,9029
2021-01-18,Rhode Island,52433,42968,9465
2021-01-19,Rhode Island,54066,44164,9902
2021-01-20,Rhode Island,56600,45904,10696
2021-01-21,Rhode Island,58995,47859,11136
2021-01-22,Rhode Island,61955,49932,12023
2021-01-23,Rhode Island,63230,50650,12580
2021-01-24,Rhode Island,67547,54287,13260
2021-01-25,Rhode Island,70400,56751,13649
2021-01-26,Rhode Island,72245,58097,14148
2021-01-27,Rhode Island,76263,59853,16410
2021-01-28,Rhode Island,80116,61554,18562
2021-01-29,Rhode Island,83584,63263,20321
2021-01-30,Rhode Island,88069,65668,22401
2021-01-31,Rhode Island,91152,67744,23408
2021-02-01,Rhode Island,94214,68779,25435
2021-02-02,Rhode Island,99513,73486,26027
2021-02-03,Rhode Island,101446,74473,26973
2021-02-04,Rhode Island,103847,75963,27884
2021-02-05,Rhode Island,106919,77940,28979
2021-02-06,Rhode Island,111796,81085,30711
2021-02-07,Rhode Island,117025,83326,33699
2021-02-08,Rhode Island,120439,85037,35402
2021-02-09,Rhode Island,122034,86264,35770
2021-02-10,Rhode Island,124913,87862,37051
2021-02-11,Rhode Island,127881,89723,38158
2021-02-12,Rhode Island,131860,91809,40051
2021-02-13,Rhode Island,136849,95258,41591
2021-02-14,Rhode Island,141097,97380,43717
2021-02-15,Rhode Island,144028,98914,45114
2021-02-16,Rhode Island,146959,100448,46511
2021-02-17,Rhode Island,151372,103283,48089
2021-02-18,Rhode Island,159863,108152,51711
2021-02-19,Rhode Island,181640,124576,57064
2021-02-20,Rhode Island,190799,131246,59553
2021-02-21,Rhode Island,198524,136915,61609
2021-02-22,Rhode Island,206172,143885,62287
2021-02-23,Rhode Island,211972,148517,63455
2021-02-24,Rhode Island,218786,154012,64774
2021-02-25,Rhode Island,227048,160880,66168
2021-02-26,Rhode Island,235365,167665,67700
2021-02-27,Rhode Island,246017,176107,69910
2021-02-28,Rhode Island,257173,183254,73919
2021-03-01,Rhode Island,269961,192198,77763
2021-03-02,Rhode Island,276367,196835,79532
2021-03-03,Rhode Island,283359,201965,81394
2021-03-04,Rhode Island,291567,208621,82946
2021-03-05,Rhode Island,301449,215497,85952
2021-03-06,Rhode Island,311389,222457,88932
2021-03-07,Rhode Island,320400,229095,91305
2021-03-08,Rhode Island,327886,234708,93178
2021-03-09,Rhode Island,335295,240963,94332
2021-03-10,Rhode Island,343400,246202,97198
2021-03-11,Rhode Island,353909,252545,101364
2021-03-12,Rhode Island,362994,258664,104330
2021-03-13,Rhode Island,371701,263449,108252
2021-03-14,Rhode Island,378745,267498,111247
2021-03-15,Rhode Island,394140,276994,117146
2021-03-16,Rhode Island,403444,283670,119774
2021-03-17,Rhode Island,409827,286139,123688
2021-03-18,Rhode Island,418679,290175,128504
2021-03-19,Rhode Island,432667,293953,138714
2021-03-20,Rhode Island,448263,299515,148748
2021-03-21,Rhode Island,463085,305815,157270
2021-03-22,Rhode Island,478147,310605,167542
2021-03-23,Rhode Island,489761,314642,175119
2021-03-24,Rhode Island,497983,317684,180299
2021-03-25,Rhode Island,507517,321271,186246
2021-03-26,Rhode Island,517469,324894,192575
2021-03-27,Rhode Island,525766,326997,198769
2021-03-28,Rhode Island,536860,331853,205007
2021-03-29,Rhode Island,549559,336637,212922
2021-03-30,Rhode Island,564570,345689,218881
2021-03-31,Rhode Island,571103,349215,221888
2021-04-01,Rhode Island,578557,351275,227282
2021-04-02,Rhode Island,595862,360199,235663
2021-04-03,Rhode Island,608506,364970,243536
2021-04-04,Rhode Island,624074,372419,251655
2021-04-05,Rhode Island,639847,380555,259292
2021-04-06,Rhode Island,653231,389410,263821
2021-04-07,Rhode Island,661281,392794,268487
2021-04-08,Rhode Island,674229,399063,275166
2021-04-09,Rhode Island,683978,403738,280240
2021-04-10,Rhode Island,700106,412815,287291
2021-04-11,Rhode Island,718228,420639,297589
2021-04-12,Rhode Island,733531,429419,304112
2021-04-13,Rhode Island,754997,443001,311996
2021-04-14,Rhode Island,762439,446220,316219
2021-04-15,Rhode Island,774756,452697,322059
2021-04-16,Rhode Island,788698,461877,326821
2021-04-17,Rhode Island,798179,467574,330605
2021-04-18,Rhode Island,809959,475139,334820
2021-04-19,Rhode Island,821557,483265,338292
2021-04-20,Rhode Island,834818,492895,341923
2021-04-21,Rhode Island,841186,495955,345231
2021-04-22,Rhode Island,852202,503512,348690
2021-04-23,Rhode Island,862282,510243,352039
2021-04-24,Rhode Island,878035,520408,357627
2021-04-25,Rhode Island,891772,528807,362965
2021-04-26,Rhode Island,904137,536864,367273
2021-04-27,Rhode Island,917018,546687,370331
2021-04-28,Rhode Island,923829,549164,374665
2021-04-29,Rhode Island,929736,551411,378325
2021-04-30,Rhode Island,943465,556126,387339
2021-05-01,Rhode Island,955029,561055,393974
