date,state,total doses,first dose,second dose
2021-01-12,South Dakota,48696,41322,7374
2021-01-13,South Dakota,50710,42789,7921
2021-01-14,South Dakota,53514,44721,8793
2021-01-15,South Dakota,57055,47389,9666
2021-01-16,South Dakota,58056,48363,9693
2021-01-17,South Dakota,59059,49338,9721
2021-01-18,South Dakota,60062,50313,9749
2021-01-19,South Dakota,61065,51288,9777
2021-01-20,South Dakota,62470,52548,9922
2021-01-21,South Dakota,65327,54531,10796
2021-01-22,South Dakota,70593,56762,13831
2021-01-23,South Dakota,77146,60982,16164
2021-01-24,South Dakota,80384,63091,17293
2021-01-25,South Dakota,82454,63950,18504
2021-01-26,South Dakota,82765,64012,18753
2021-01-27,South Dakota,86926,65031,21895
2021-01-28,South Dakota,91714,67171,24543
2021-01-29,South Dakota,97167,70502,26665
2021-01-30,South Dakota,102776,74229,28547
2021-01-31,South Dakota,105885,76523,29362
2021-02-01,South Dakota,107609,77052,30557
2021-02-02,South Dakota,107928,77125,30803
2021-02-03,South Dakota,110888,79025,31863
2021-02-04,South Dakota,115595,81697,33898
2021-02-05,South Dakota,121511,85921,35590
2021-02-06,South Dakota,127508,88882,38626
2021-02-07,South Dakota,131354,91598,39756
2021-02-08,South Dakota,132983,92615,40368
2021-02-09,South Dakota,133144,92678,40466
2021-02-10,South Dakota,136351,94744,41607
2021-02-11,South Dakota,141644,97817,43827
2021-02-12,South Dakota,148581,103076,45505
2021-02-13,South Dakota,154925,106251,48674
2021-02-14,South Dakota,160122,109875,50247
2021-02-15,South Dakota,161452,110513,50939
2021-02-16,South Dakota,162782,111151,51631
2021-02-17,South Dakota,165762,113425,52337
2021-02-18,South Dakota,171072,116461,54611
2021-02-19,South Dakota,218059,148976,69083
2021-02-20,South Dakota,225684,152655,73029
2021-02-21,South Dakota,232511,156792,75719
2021-02-22,South Dakota,235568,158566,77002
2021-02-23,South Dakota,236803,159201,77602
2021-02-24,South Dakota,242226,162773,79453
2021-02-25,South Dakota,249730,167434,82296
2021-02-26,South Dakota,259115,172279,86836
2021-02-27,South Dakota,268839,178635,90204
2021-02-28,South Dakota,277950,184028,93922
2021-03-01,South Dakota,281756,186324,95432
2021-03-02,South Dakota,282252,186707,95545
2021-03-03,South Dakota,287313,189979,97334
2021-03-04,South Dakota,294452,193978,100474
2021-03-05,South Dakota,304172,198905,105267
2021-03-06,South Dakota,314538,206243,108295
2021-03-07,South Dakota,323122,211458,111664
2021-03-08,South Dakota,326922,213168,113754
2021-03-09,South Dakota,327522,213680,113842
2021-03-10,South Dakota,333120,217047,116073
2021-03-11,South Dakota,341094,221398,119696
2021-03-12,South Dakota,351079,226056,125023
2021-03-13,South Dakota,363297,232966,130331
2021-03-14,South Dakota,376654,241971,134683
2021-03-15,South Dakota,382549,244353,138196
2021-03-16,South Dakota,383993,245286,138707
2021-03-17,South Dakota,389385,248205,141180
2021-03-18,South Dakota,397812,251987,145825
2021-03-19,South Dakota,408433,256112,152321
2021-03-20,South Dakota,419873,261798,158075
2021-03-21,South Dakota,430684,267282,163402
2021-03-22,South Dakota,434196,268972,165224
2021-03-23,South Dakota,435241,269800,165441
2021-03-24,South Dakota,442738,274493,168245
2021-03-25,South Dakota,452212,279590,172622
2021-03-26,South Dakota,464692,286727,177965
2021-03-27,South Dakota,480104,294506,185598
2021-03-28,South Dakota,491847,300563,191284
2021-03-29,South Dakota,497635,303587,194048
2021-03-30,South Dakota,499164,304480,194684
2021-03-31,South Dakota,506376,308289,198087
2021-04-01,South Dakota,515205,312907,202298
2021-04-02,South Dakota,526108,318660,207448
2021-04-03,South Dakota,541195,327720,213475
2021-04-04,South Dakota,551622,332349,219273
2021-04-05,South Dakota,555430,334448,220982
2021-04-06,South Dakota,556068,334829,221239
2021-04-07,South Dakota,562791,338642,224149
2021-04-08,South Dakota,573738,344121,229617
2021-04-09,South Dakota,585748,350432,235316
2021-04-10,South Dakota,600515,357294,243221
2021-04-11,South Dakota,612735,362791,249944
2021-04-12,South Dakota,616801,364795,252006
2021-04-13,South Dakota,618123,365410,252713
2021-04-14,South Dakota,623653,367699,255954
2021-04-15,South Dakota,631641,370859,260782
2021-04-16,South Dakota,639864,373961,265903
2021-04-17,South Dakota,647826,377436,270390
2021-04-18,South Dakota,655801,380338,275463
2021-04-19,South Dakota,659027,381363,277664
2021-04-20,South Dakota,660012,381723,278289
2021-04-21,South Dakota,664011,382887,281124
2021-04-22,South Dakota,670834,384292,286542
2021-04-23,South Dakota,681041,386737,294304
2021-04-24,South Dakota,689637,388763,300874
2021-04-25,South Dakota,697262,390725,306537
2021-04-26,South Dakota,700461,391407,309054
2021-04-27,South Dakota,701342,391687,309655
2021-04-28,South Dakota,705551,392554,312997
2021-04-29,South Dakota,712363,393573,318790
2021-04-30,South Dakota,719855,395076,324779
2021-05-01,South Dakota,732206,397714,334492
2021-05-02,South Dakota,732931,397920,335011
2021-05-03,South Dakota,733237,398028,335209
2021-05-04,South Dakota,735693,398802,336891
