date,total doses,first dose,second dose
2020-12-20,556208,556208,0
2020-12-21,614117,614117,0
2020-12-22,811071,811071,0
2020-12-23,1008025,1008025,0
2020-12-24,1242165,1242165,0
2020-12-25,1476305,1476305,0
2020-12-26,1944585,1944585,0
2020-12-27,2035864,2035864,0
2020-12-28,2127143,2127143,0
2020-12-29,2460865,2460865,0
2020-12-30,2794588,2794588,0
2020-12-31,3152380,3152380,0
2021-01-01,3510172,3510172,0
2021-01-02,4225756,4225756,0
2021-01-03,4394508,4394508,0
2021-01-04,4563260,4563260,0
2021-01-05,4836469,4836469,0
2021-01-06,5306797,5306797,0
2021-01-07,5919418,5919418,0
2021-01-08,6688231,6688231,0
2021-01-09,7263004,7263004,0
2021-01-10,7837776,7837776,0
2021-01-11,8987322,8987322,0
2021-01-12,9327138,9327138,0
2021-01-13,9508948,9508948,0
2021-01-14,11032843,9690757,1342086
2021-01-15,12206390,10595866,1610524
2021-01-16,13059524,11345850,1713674
2021-01-17,13912658,12095834,1816824
2021-01-18,14765792,12845818,1919974
2021-01-19,15618927,13595803,2023124
2021-01-20,16431860,14270441,2161419
2021-01-21,17448218,15053257,2394961
2021-01-22,19000046,16243093,2756953
2021-01-23,20418209,17390344,3027865
2021-01-24,21718968,18502132,3216836
2021-01-25,22598670,19252280,3346390
2021-01-26,23384157,19902236,3481921
2021-01-27,24489023,20687970,3801053
2021-01-28,25961662,21698606,4263056
2021-01-29,27639206,22858318,4780888
2021-01-30,29323857,24064164,5259693
2021-01-31,30858286,25201144,5657142
2021-02-01,31950999,26023152,5927847
2021-02-02,32505628,26440836,6064792
2021-02-03,33591887,27154956,6436931
2021-02-04,34831246,27905196,6926050
2021-02-05,36413360,28909496,7503864
2021-02-06,38568144,30250964,8317180
2021-02-07,40726285,31579100,9147185
2021-02-08,41858161,32340146,9518015
2021-02-09,42707641,32867212,9840429
2021-02-10,44252898,33783384,10469514
2021-02-11,45912746,34723964,11188782
2021-02-12,47920686,35834856,12085830
2021-02-13,50138292,37056120,13082172
2021-02-14,52369712,38292272,14077440
2021-02-15,53527849,38981412,14546437
2021-02-16,54685986,39670552,15015434
2021-02-17,55739544,40268008,15471536
2021-02-18,57183406,41021048,16162358
2021-02-19,59016518,41977400,17039118
2021-02-20,60705264,42809596,17895668
2021-02-21,62493412,43628092,18865320
2021-02-22,63576616,44138120,19438496
2021-02-23,64427512,44544968,19882544
2021-02-24,65844404,45237144,20607260
2021-02-25,67629508,46074392,21555116
2021-02-26,69797560,47184200,22613360
2021-02-27,72134164,48435536,23698628
2021-02-28,74552100,49772180,24779920
2021-03-01,76199400,50732996,25466404
2021-03-02,77917570,51755448,26162122
2021-03-03,79813384,52855580,26957804
2021-03-04,81831652,54035672,27795980
2021-03-05,84248896,55547696,28701200
2021-03-06,87135008,57358848,29776160
2021-03-07,89560592,58873712,30686880
2021-03-08,91498272,60005232,31493040
2021-03-09,93190588,61088528,32102060
2021-03-10,95355312,62451152,32904160
2021-03-11,97934800,64071672,33863128
2021-03-12,100965464,65965304,35000160
2021-03-13,105813784,68884008,36929776
2021-03-14,107243476,69784208,37459268
2021-03-15,109389880,71054448,38335432
2021-03-16,111177960,72135616,39042344
2021-03-17,113659148,73669952,39989196
2021-03-18,116477176,75495712,40981464
2021-03-19,119164692,77230064,41934628
2021-03-20,122404040,79367224,43036816
2021-03-21,125556996,81415768,44141228
2021-03-22,127683360,82772416,44910944
2021-03-23,129464456,83930496,45533960
2021-03-24,131837684,85472168,46365516
2021-03-25,134763456,87343624,47419832
2021-03-26,138254396,89559224,48695172
2021-03-27,141849496,91707728,50141768
2021-03-28,145224724,93631160,51593564
2021-03-29,147629992,95015760,52614232
2021-03-30,149467536,96044048,53423488
2021-03-31,152200328,97593288,54607040
2021-04-01,155654928,99565312,56089616
2021-04-02,159789544,101804760,57984784
2021-04-03,164071624,104213480,59858144
2021-04-04,167631464,106214928,61416536
2021-04-05,169907488,107515424,62392064
2021-04-06,171318208,108301232,63016976
2021-04-07,174418352,109995736,64422616
2021-04-08,178249732,112046608,66203124
2021-04-09,182638496,114436040,68202456
2021-04-10,187835528,117142880,70692648
2021-04-11,191873800,119242904,72630896
2021-04-12,194914576,120848488,74066088
2021-04-13,197617808,122295528,75322280
2021-04-14,200598632,123917384,76681248
2021-04-15,204321152,125822864,78498288
2021-04-16,208352912,127743096,80609816
2021-04-17,211965328,129494176,82471152
2021-04-18,215510952,131247544,84263408
2021-04-19,217686816,132321632,85365184
2021-04-20,219490496,133266992,86223504
2021-04-21,222038248,134445600,87592648
2021-04-22,225036800,135791024,89245776
2021-04-23,228410888,137234896,91175992
2021-04-24,231722760,138644720,93078040
2021-04-25,234750808,139978480,94772328
2021-04-26,236857752,140969664,95888088
2021-04-27,238499312,141751856,96747456
2021-04-28,240737416,142692992,98044424
2021-04-29,243462512,143793568,99668944
2021-04-30,246301912,144894592,101407320
2021-05-01,249661752,146239200,103422552
2021-05-02,251821664,147047008,104774656
2021-05-03,253041248,147517728,105523520
2021-05-04,254063264,147894672,106168592
2021-05-05,255909432,148562896,107346536
2021-05-06,258388896,149462272,108926624
2021-05-07,261291480,150416560,110874920
2021-05-08,263942272,151315504,112626768
2021-05-09,266375168,152116928,114258240
2021-05-10,268350688,152819904,115530784
2021-05-11,270024680,153448320,116576360
2021-05-12,271633744,153986304,117647440
2021-05-13,273611536,154624224,118987312
2021-05-14,275510496,155251856,120258640
2021-05-15,277985632,156217360,121768272
2021-05-16,280131960,157132240,122999720
2021-05-17,281655424,157827200,123828224
2021-05-18,282821104,158365408,124455696
2021-05-19,284628384,159174960,125453424
2021-05-20,286782992,160177824,126605168
2021-05-21,289056584,161278336,127778248
2021-05-22,291477264,162470800,129006464
2021-05-23,293323584,163309408,130014176
2021-05-24,294523624,163907824,130615800
2021-05-25,295456864,164378256,131078608
2021-05-26,296925000,165074912,131850088
2021-05-27,298488616,165718720,132769896
2021-05-28,299920672,166388128,133532544
2021-05-29,301575792,167157040,134418752
2021-05-30,302821280,167733968,135087312
2021-05-31,303589216,168111840,135477376
2021-06-01,304357152,168489728,135867424
2021-06-02,304889680,168734432,136155248
2021-06-03,305734880,169090256,136644624
